ID,Page,LineNum,Enterer,Recorder,Team,Year,SurveyDate,BlockID,SiteID,Plot,PlotID,HostID,HostAbund,IndNum,BranchNum,BranchLength,BranchDiam,NumLeaves,CatID,CatSpecies,Count,BadHost,CatIDNum,RearID,FieldNotes,EntererNotes,CleaningNotes,
1,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,PINST,6,1,1,50,NA,NA,,NA,0,,NA,,,,,
2,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,PINST,6,2,2,30,NA,NA,,NA,0,,NA,,,,,
3,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,VACCO,1,1,1,NA,NA,860,,NA,0,,NA,,,,,
4,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,1,1,NA,NA,40,,NA,0,,NA,,,,,
5,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,2,11,NA,NA,156,,NA,0,,NA,,,,,
6,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,PINST,6,3,3,25,NA,NA,,NA,0,,NA,,,,,
7,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,3,12,NA,NA,487,,NA,0,,NA,,,,,
8,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,4,13,NA,NA,82,,NA,0,,NA,,,,,
9,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,5,14,NA,NA,134,,NA,0,,NA,,,,,
10,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,6,15,NA,NA,218,MORRCO,Morrisonia confusa,1,,NA,,,,,
11,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,7,16,NA,NA,245,,NA,0,,NA,,,,,
12,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,8,17,NA,NA,104,,NA,0,,NA,,,,,
13,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,9,18,NA,NA,282,,NA,0,,NA,,,,,
