"BlockID","SiteID","FragSize","SizeClass","ForestProp1km","FragRatio1km","Hunted","BrowseProb","ScatPredict","PointID","Latitude","Longitude","CornerFlagged","Year","SurveyDate","Soil","Rock","Fern","Herbaceous","Coniferous","Deciduous","Moss","Laurel","Tree","TreeGenus","TreeSpecies","TreeFamily","DBH","Height","Branches1_2m","Dead"
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_2","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","Fagus","grandifolia","Fagaceae","6.30",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_2","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","Betula","alleghaniensis","Betulaceae","48.15",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_2","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula lenta","Betula","lenta","Betulaceae","19.40",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_2","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Vaccinium corymbosum","Vaccinium","corymbosum","Ericaceae",NA,"1.63","yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_2","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Berberis thunbergii","Berberis","thunbergii","Berberidaceae",NA,"1.08","yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_2","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Berberis thunbergii","Berberis","thunbergii","Berberidaceae",NA,"1.19","yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_2","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","Betula","alleghaniensis","Betulaceae","14.75",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","Fagus","grandifolia","Fagaceae","1.00",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","Fagus","grandifolia","Fagaceae","12.95",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","2.45",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula lenta","Betula","lenta","Betulaceae","21.70",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Acer","rubrum","Aceraceae","3.05",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Tsuga canadensis","Tsuga","canadensis","Pinaceae","9.00",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","Fagus","grandifolia","Fagaceae","4.95",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","Fagus","grandifolia","Fagaceae","5.15",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","Fagus","grandifolia","Fagaceae","4.30",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula alleghaniensis","Betula","alleghaniensis","Betulaceae","8.00",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","Fagus","grandifolia","Fagaceae","9.70",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Carpinus caroliniana","Carpinus","caroliniana","Betulaceae","2.45",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula lenta","Betula","lenta","Betulaceae","4.10",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Carpinus caroliniana","Carpinus","caroliniana","Betulaceae","4.05",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Acer","rubrum","Aceraceae","4.00",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_10_1","41.805695","-72.234322",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Ostrya virginiana","Ostrya","virginiana","Betulaceae","5.80",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_1","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Quercus palustris","Quercus","palustris","Fagaceae","44.00",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_1","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","3.90",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_1","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Acer","rubrum","Aceraceae","27.50",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_1","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Picea glauca","Picea","glauca","Pinaceae","27.55",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_1","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Picea glauca","Picea","glauca","Pinaceae","27.00",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_1","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula lenta","Betula","lenta","Betulaceae","21.40",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_1","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Quercus rubra","Quercus","rubra","Fagaceae","27.00",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_2","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Fraxinus americana","Fraxinus","americana","Oleaceae","36.05",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_2","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula lenta","Betula","lenta","Betulaceae","38.30",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_2","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula lenta","Betula","lenta","Betulaceae","10.95",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_2","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula lenta","Betula","lenta","Betulaceae","28.00",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_2","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Carya glabra","Carya","glabra","Juglandaceae","41.60",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_2","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Fagus grandifolia","Fagus","grandifolia","Fagaceae","30.10",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_2","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula lenta","Betula","lenta","Betulaceae","22.10",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_7_2","41.806381","-72.234871",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Carpinus caroliniana","Carpinus","caroliniana","Betulaceae","2.20",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","3.40",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Carya glabra","Carya","glabra","Juglandaceae","35.65",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula lenta","Betula","lenta","Betulaceae","22.30",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","2.40",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Betula lenta","Betula","lenta","Betulaceae","12.00",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","6.75",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","2.60",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","6.20",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","1.70",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","2.85",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","1.50",NA,"yes",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","7.80",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Carya glabra","Carya","glabra","Juglandaceae","41.70",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","2.30",NA,"no",NA
"ST","WWS","14.958","small","0.506","4.078","no","0.415","0.176","ST_WWS_4","41.806828","-72.235229",NA,"2017","2017-07-17",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Acer","saccharum","Aceraceae","2.60",NA,"no",NA
