"109","ACHADI","Achatia distincta","Lepidoptera","Noctuidae","Achatia","distincta",,NULL,"Distinct Quaker","no","no","190.37","118","23",NULL
"110","ACROBX","Acrobasis","Lepidoptera","Pyralidae","Acrobasis",,,NULL,,"yes",,"0.00","2","1",NULL
"111","ACRONX","Acronicta","Lepidoptera","Noctuidae","Acronicta",,,NULL,"Dagger Moths","no",,NULL,NULL,NULL,NULL
"112","ACROAM","Acronicta americana","Lepidoptera","Noctuidae","Acronicta","americana",,NULL,"American Dagger Moth","no","no",NULL,NULL,NULL,NULL
"113","ACROIN","Acronicta interrupta","Lepidoptera","Noctuidae","Acronicta","interrupta",,NULL,"Interrupted Dagger Moth","no",,"181.30","2","2",NULL
"114","ACROLA","Acronicta laetifica","Lepidoptera","Noctuidae","Acronicta","laetifica",,NULL,"Pleasant Dagger Moth","no","yes","17.13","3","2","Betulaceae: Carpinus (mostly), Ostrya, Corylus"
"115","ACROOV","Acronicta ovata","Lepidoptera","Noctuidae","Acronicta","ovata",,NULL,"Ovate Dagger Moth","no","yes",NULL,NULL,NULL,"Fagaceae, especially Quercus alba"
"116","ALLOEL","Allotria elonympha","Lepidoptera","Erebidae","Allotria","elonympha",,NULL,"False Underwing Moth","no","yes","0.00","1","1","Nyssa specialist"
"117","ALSOXX","Alsophila","Lepidoptera","Geometridae","Alsophila",,,NULL,,"no",,NULL,NULL,NULL,NULL
"118","AMPHXX","Amphipyra","Lepidoptera","Noctuidae","Amphipyra",,,NULL,,"no",,NULL,NULL,NULL,NULL
"119","AMPHPY","Amphipyra pyramidoides","Lepidoptera","Noctuidae","Amphipyra","pyramidoides",,NULL,"Copper Underwing","no","no","188.50","26","11",NULL
"120","PLAGPU","Plagodis pulveraria","Lepidoptera","Geometridae","Plagodis","pulveraria",,NULL,"American Barred Umber Moth","no",,"54.99","9","2","syn. Anagoga occiduaria"
"121","ANTEXX","Antepione","Lepidoptera","Geometridae","Antepione",,,NULL,,"no",,"0.00","1","1",NULL
"122","BAILOP","Baileya ophthalmica","Lepidoptera","Nolidae","Baileya","ophthalmica",,NULL,"Eyed Baileya","no","yes","0.00","4","1","Carpinus, Ostrya"
"123","BESMXX","Besma","Lepidoptera","Geometridae","Besma",,,NULL,,"no",,NULL,NULL,NULL,NULL
"124","BESMQU","Besma quercivoraria","Lepidoptera","Geometridae","Besma","quercivoraria",,NULL,"Oak Besma","no","no","190.47","6","6",NULL
"125","BISTBE","Biston betularia","Lepidoptera","Geometridae","Biston","betularia",,NULL,"Cleft-Headed Looper","no","no","0.00","1","1",NULL
"126","HYPEBA","Hypena baltimoralis","Lepidoptera","Erebidae","Hypena","baltimoralis",,NULL,"Baltimore Bomolocha","no","yes","0.00","14","1","syn. Bomolocha baltimoralis"
"127","CALLER","Callophrys eryphon","Lepidoptera","Lycaenidae","Callophrys","eryphon",,NULL,"Western Pine Elfin","no",,NULL,NULL,NULL,NULL
"128","CALLNI","Callophrys niphon","Lepidoptera","Lycaenidae","Callophrys","niphon",,NULL,"Eastern Pine Elfin","no","yes","0.00","1","1","Pinus"
"129","CATOXX","Catocala","Lepidoptera","Erebidae","Catocala",,,NULL,"Underwing Moths","no",,"149.79","3","2",NULL
"130","CATOLI","Catocala lineella","Lepidoptera","Erebidae","Catocala","lineella",,NULL,"Steely Underwing","no","yes","0.00","1","1","Quercus (red oak group)"
"131","CATOUL","Catocala ultronia","Lepidoptera","Erebidae","Catocala","ultronia",,NULL,"Ultronia Underwing","no","yes","0.00","1","1","Prunus (mostly), Malus, Crataegus, Rosaceae"
"132","CELALA","Celastrina ladon","Lepidoptera","Lycaenidae","Celastrina","ladon",,NULL,"Spring Azure","no","yes","0.00","1","1",NULL
"133","CHIOXX","Chionodes","Lepidoptera","Gelechiidae","Chionodes",,,NULL,,"yes",,"0.00","1","1",NULL
"134","CLADXX","Cladara","Lepidoptera","Geometridae","Cladara",,,NULL,,"no",,"0.00","1","1",NULL
"135","CLADAT","Cladara atroliturata","Lepidoptera","Geometridae","Cladara","atroliturata",,NULL,"Scribbler Moth","no","no","153.48","31","10",NULL
"136","CLADLI","Cladara limitaria","Lepidoptera","Geometridae","Cladara","limitaria",,NULL,"Yellow-lined Conifer Looper","no","yes","202.48","49","3","Possibly 2 spp, one on Kalmia/Ericaceae, and another on Tsuga."
"137","CORYME","Coryphista meadii","Lepidoptera","Geometridae","Coryphista","meadii",,NULL,"Barberry Looper","no","yes","0.00","5","1","Berberis thunbergii"
"138","COSMCA","Cosmia calami","Lepidoptera","Noctuidae","Cosmia","calami",,NULL,"American Dun-bar","no","yes","128.63","4","4","Fagaceae, especially Quercus alba"
"139","CROCNO","Crocigrapha normani","Lepidoptera","Noctuidae","Crocigrapha","normani",,NULL,"Normans Quaker","no","no","230.76","70","21",NULL
"140","CYCLPE","Cyclophora pendulinaria","Lepidoptera","Geometridae","Cyclophora","pendulinaria",,NULL,"Sweetfern Geometer Moth","no",,"0.00","6","1",NULL
"141","DARAXX","Darapsa","Lepidoptera","Sphingidae","Darapsa",,,NULL,,"no",,NULL,NULL,NULL,NULL
"142","DARACH","Darapsa choerilus","Lepidoptera","Sphingidae","Darapsa","choerilus",,NULL,"Azalea Sphinx","no","yes","0.00","14","1","Kalmia (mostly), Azalea, Viburnum"
"143","DRASGR","Drasteria grandirena","Lepidoptera","Erebidae","Drasteria","grandirena",,NULL,"Figure-Seven Moth","no","yes","0.00","2","1","Hamamelis virginiana"
"144","ECTRCR","Ectropis crepuscularia","Lepidoptera","Geometridae","Ectropis","crepuscularia",,NULL,"Saddleback Looper","no","no","207.79","27","14",NULL
"145","ENNOXX","Ennomos","Lepidoptera","Geometridae","Ennomos",,,NULL,,"no",,NULL,NULL,NULL,NULL
"146","ENNOSU","Ennomos subsignaria","Lepidoptera","Geometridae","Ennomos","subsignaria",,NULL,"Ennomos Subsignaria","no","no","191.18","92","18",NULL
"147","EPIMHO","Epimecis hortaria","Lepidoptera","Geometridae","Epimecis","hortaria",,NULL,"Tulip-Tree Beauty","no","yes","0.00","40","1","Lauraceae, Magnoliaceae (primarily Lindera benzoin)"
"148","EUGOXX","Eugonobapta","Lepidoptera","Geometridae","Eugonobapta",,,NULL,,,,NULL,NULL,NULL,NULL
"149","EUPIXX","Eupithecia","Lepidoptera","Geometridae","Eupithecia",,,NULL,"Pugs","no","no","227.00","94","22","Generalists for the most part, especially those w/o names"
"150","EUPICA","Eupithecia catkin","Lepidoptera","Geometridae","Eupithecia","catkin",,NULL,"Catkin Eupithecia","no",,NULL,NULL,NULL,NULL
"151","EUPIGR","Eupithecia green","Lepidoptera","Geometridae","Eupithecia","green",,NULL,"Green Eupithecia","no","no",NULL,NULL,NULL,"syn. Eupithecia swettii"
"152","EUPIIC","Eupithecia icterata","Lepidoptera","Geometridae","Eupithecia","icterata",,NULL,"Tawny speckled pug","no",,"235.41","4","4",NULL
