Lepidoptera spp.,Total Observed,Diet breadth,Total hosts,Observed favored hosts
Speranza pustularia,199,Specialist,1,Acer rubrum
Nola triquetrana,185,Specialist,1,Hamamelis virginiana
Morrisonia evicta,97,Specialist,2,Kalmia latifolia; Lyonia ligustrina
Cladara limitaria,51,Specialist,2,Kalmia latifolia; Tsuga canadensis
Epimecis hortaria,48,Specialist,1,Lindera benzoin
Pyreferra hesperidago,47,Specialist,1,Hamamelis virginiana
Pseudexentera costomaculana,38,Specialist,1,Hamamelis virginiana
Nola clethrae,30,Specialist,1,Clethra alnifolia
Melanolophia canadaria,315,Generalist,15,Kalmia latifolia; Clethra alnifolia; Hamamelis virginiana
Malacosoma disstria,285,Generalist,5,Hamamelis virginiana; Vaccinium corymbosum; Castanea dentata
Orgyia leucostigma,166,Generalist,7,Acer rubrum; Carpinus caroliniana; Hamamelis virginiana
Orthosia rubescens,131,Generalist,11,Hamamelis virginiana; Vaccinium corymbosum; Kalmia latifolia
Lambdina fiscellaria,111,Generalist,13,Hamamelis virginiana; Carpinus caroliniana; Quercus alba
Iridopsis ephyraria,105,Generalist,14,Carpinus caroliniana; Acer rubrum; Hamamelis virginiana
Morrisonia confusa,103,Generalist,17,Ostrya virginiana; Quercus alba; Fagus grandifolia
Nematocampa resistaria,69,Generalist,11,Carpinus caroliniana; Carya spp.; Acer rubrum
Crocigrapha normani,62,Generalist,14,Acer rubrum; Carpinus caroliniana; Corylus spp.
Himella fidelis,49,Generalist,13,Carpinus caroliniana; Acer rubrum; Amelanchier spp.
Ennomos subsignaria,43,Generalist,10,Fagus grandifolia; Carpinus caroliniana; Hamamelis virginiana
Achatia distincta,35,Generalist,14,Hamamelis virginiana; Carpinus caroliniana; Carya spp.
Eutrapela clemataria,35,Generalist,15,Acer rubrum; Lyonia ligustrina; Carpinus caroliniana
,,,,
